chapter number, title, wordcount, timestamp
304,"Crown of Thorns – 20.8",4392,2017-08-22T00:01:06-04:00
305,"Crown of Thorns – 20.9",4352,2017-08-26T00:01:17-04:00
306,"Crown of Thorns – 20.10",5764,2017-08-29T00:01:40-04:00
307,"Crown of Thorns – 20.11",4756,2017-09-02T00:01:33-04:00
308,"Crown of Thorns – 20.12",4470,2017-09-05T00:01:53-04:00
309,"Crown of Thorns – 20.13",4599,2017-09-09T00:01:52-04:00
310,"Crown of Thorns – 20.14",4044,2017-09-12T00:01:51-04:00
311,"Crown of Thorns – 20.15",5052,2017-09-16T00:01:14-04:00
312,"Crown of Thorns – 20.16",5638,2017-09-19T00:01:53-04:00
313,"Crown of Thorns – 20.17",5095,2017-09-23T00:01:34-04:00
314,"Crown of Thorns – 20.18",4603,2017-09-26T00:01:02-04:00
315,"Crown of Thorns – 20.19",5299,2017-09-30T00:01:38-04:00
316,"Crown of Thorns – 20.20",6070,2017-10-03T00:01:08-04:00
317,"Forest for the Trees – e.1",5695,2017-10-07T00:01:25-04:00
318,"Forest for the Trees – e.2",5186,2017-10-10T00:01:58-04:00
319,"Forest for the Trees – e.3",4511,2017-10-14T00:01:22-04:00
320,"Forest for the Trees – e.4",7077,2017-10-17T00:01:53-04:00
